category,id,name,price,description,ingredients,allergens,image
primi,307651,"Tortelli di Ricotta e Spinaci  con Guanciale, Salvia, Crema di Burro Chiarificato",12.00,"I tortelli di ricotta e spinaci sono un piatto tradizionale della cucina romagnola, preparati con sfoglia all'uovo e ripieno di ricotta e spinaci freschi. La loro consistenza morbida e vellutata si sposa perfettamente con il guanciale croccante, la salvia aromatica e la crema di burro chiarificato, creando un perfetto equilibrio di sapori e consistenze. Questo piatto rappresenta una vera delizia per il palato, che esalta la tradizione culinaria della regione.","Guanciale, Pasta fresca all’uovo, Farina, Burro, Salvia","Glutine, Uova e derivati, Latte e derivati",assets/dishcovery-images/307651_Tortelli_di_Ricotta_e_Spinaci_con_Guanciale_Salvia_Crema_di_Burro_Chiarificato.jpeg
primi,307660,Strozzapreti ai Porcini con Scaglie di Pecorino di Fossa  di Sogliano,14.00,,"Porcini, Pecorino di Fossa di Sogliano, Farina di tipo 1",Glutine,assets/dishcovery-images/307660_Strozzapreti_ai_Porcini_con_Scaglie_di_Pecorino_di_Fossa_di_Sogliano.jpeg
primi,307678,Gnocchetti alle Vongole su Crema di Zucchine e Datterini,14.00,"Gnocchetti di patate fatti in casa, arricchiti con vongole fresche e serviti su una cremosa base di zucchine e pomodori datterini. La consistenza morbida degli gnocchetti si sposa perfettamente con il sapore intenso e delicato delle vongole, mentre la crema di zucchine e pomodori datterini aggiunge un tocco di dolcezza e freschezza al piatto. Questo piatto è perfetto per gli amanti del mare e della cucina mediterranea, che vogliono gustare una pietanza ricca di sapori e di profumi.","Vongole, Zucchine, Aglio, Pasta fresca fresca all’uovo, Pomodorini Ciliegino","Cereali, Molluschi",assets/dishcovery-images/307678_Gnocchetti_alle_Vongole_su_Crema_di_Zucchine_e_Datterini.jpeg
primi,307669,Tagliolini allo Scoglio,17.00,,"Seppia, Gamberi, Polpo, Pasta fresca all’uovo, Cozze, Vongole, Aglio, Pomodoro, Prezzemolo","Sedano, Glutine, Crostacei, Pesce, Uova e derivati, Molluschi",
primi,520062,Lasagne della Tradizione Romagnola,12.00,"Un piatto tipico della cucina romagnola, le lasagne sono preparate con sfoglia all'uovo, ragù di carne, besciamella e parmigiano reggiano, per un piatto saporito e sostanzioso.",,"Sedano, Uova e derivati, Latte e derivati",
pizze,304069,Americana,10.00,,"Fior di Latte, Pomodoro, Wurstel, Patate Fritte","Glutine, Latte e derivati",
pizze,340814,Aromatica,13.00,,"Mozzarella Fiordilatte, Burrata, Prosciutto Crudo di Parma",,
pizze,309811,Biancaneve,7.00,,Fior di Latte,"Glutine, Latte e derivati",
pizze,307896,Biscara,11.00,,"Mozzarella di Bufala Dop, Pomodoro, Funghi Porcini, Salsiccia","Glutine, Latte e derivati",
pizze,304071,Bomba,10.00,,"Fior di Latte, Pomodoro, Salame Piccante, Fagioli, Salsiccia, Cipolla",,
pizze,304073,Boscaiola,10.50,,"Fior di Latte, Pomodoro, Funghi Porcini, Pancetta, Funghi Champignon","Glutine, Latte e derivati",
pizze,309795,Capricciosa,12.00,,"Pomodoro, Prosciutto Cotto, Fior di Latte, Olive Taggiasche, Carciofi, Salsiccia, Funghi Champignon","Glutine, Latte e derivati",
pizze,340813,Delicius,14.00,,"Mozzarella Fiordilatte, Burrata, Acciughe del Cantabrico, Olive Taggiasche","Glutine, Pesce, Latte e derivati",
pizze,309765,Diavola,9.00,,"Capperi, Fior di Latte, Pomodoro, Salame Piccante, Acciughe","Glutine, Pesce, Latte e derivati",
pizze,307897,Fuoco del Vesuvio,11.00,,"Fior di Latte, Pomodoro, Peperoni, Rucola, Salame Piccante, Olive Taggiasche","Glutine, Latte e derivati",
pizze,307898,Ghiotta,9.50,,"Fior di Latte, Pomodoro, Scamorza, Salame Piccante, Cipolla","Glutine, Latte e derivati",
pizze,307899,Mandolino,10.00,,"Mozzarella di Bufala Dop, Pomodoro, Olive Taggiasche, Origano, Pomini","Glutine, Latte e derivati",
pizze,307540,Margherita,7.00,,"Pomodoro, Fior di Latte","Glutine, Latte e derivati",
pizze,307900,Messicana,10.50,,"Fior di Latte, Pomodoro, Salame Piccante, Pancetta, Fagioli, Peperoncino","Glutine, Latte e derivati",
pizze,309810,Marinara,6.00,,"Pomodoro, Prezzemolo, Aglio",Glutine,
pizze,307901,Misteriosa,12.00,,"Fior di Latte, Pomodoro, Salsiccia, Grana Padano, Rucola, Funghi Porcini, Zucchine",,
pizze,309618,Napoli,8.00,,"Fior di Latte, Pomodoro, Acciughe, Origano","Glutine, Pesce, Latte e derivati",
pizze,307902,Parmigiana,9.50,,"Fior di Latte, Pomodoro, Melanzane, Grana Padano","Glutine, Latte e derivati",
pizze,307904,Ricca,12.50,,"Fior di Latte, Mozzarella di Bufala, Gorgonzola, Scamorza, Prosciutto Crudo di Parma",,
pizze,307903,Raffinata,10.00,,"Fior di Latte, Pomodoro, Prosciutto Crudo di Parma, Grana Padano, Rucola","Glutine, Latte e derivati",
pizze,309620,Romana,8.50,,"Fior di Latte, Pomodoro, Acciughe, Capperi","Glutine, Latte e derivati",
pizze,307905,Rustica,10.50,,"Fior di Latte, Pomodoro, Gorgonzola, Funghi Porcini, Rucola","Glutine, Latte e derivati",
pizze,307906,Saporita,10.00,,"Fior di Latte, Pomodoro, Salame Piccante, Salsiccia, Wurstel",,
pizze,307907,Sfiziosa,11.00,,"Fior di Latte, Pomodoro, Scamorza, Funghi Porcini, Speck",,
pizze,307908,Stravagante,10.50,,"Fior di Latte, Pomodoro, Scamorza, Pancetta, Radicchio, Aceto Balsamico","Glutine, Latte e derivati",
pizze,307909,Tirolese,11.00,,"Fior di Latte, Pomodoro, Speck, Funghi Porcini, Gorgonzola",,
pizze,307910,Trevisana,9.00,,"Fior di Latte, Pomodoro, Pancetta, Radicchio","Glutine, Latte e derivati",
pizze,307912,Vegetariana,10.00,,"Fior di Latte, Pomodoro, Grana Padano, Verdure Fresche","Glutine, Latte e derivati",
pizze,307913,Verdure Grigliate,9.00,,"Fior di Latte, Pomodoro, Peperoni, Zucchine, Melanzane",,
pizze,307914,Vigliacca,10.00,,"Fior di Latte, Pomodoro, Gorgonzola, Pancetta, Spinaci",,
pizze,307919,Viking,11.50,,"Fior di Latte, Pomodoro, Funghi Porcini, Salsiccia, Cipolla, Olive Taggiasche","Glutine, Latte e derivati",
pizze,307916,Vulcano,10.00,,"Fior di Latte, Pomodoro, Wurstel, Salame Piccante, Funghi Champignon, Pancetta","Glutine, Latte e derivati",
secondi,307686,Galletto a Bassa Temperatura agli Agrumi con Spinaci al Vapore e Riduzione alla Soia,15.00,,"Galletto cotto a bassa temperatura con salsa agli agrumi, Erbette fresche al vapore con glassa 	alla salsa di soia",Soia,assets/dishcovery-images/307686_Galletto_a_Bassa_Temperatura_agli_Agrumi_con_Spinaci_al_Vapore_e_Riduzione_alla_Soia.jpeg
secondi,307947,"Tagliata di Controfiletto di Manzo ""Argentino"", al Sale di Cervia con Patate Rustiche al Forno",22.00,,"Controfiletto Di Manzo, Aglio, Rosmarino, Patata",,assets/dishcovery-images/307947_Tagliata_di_Controfiletto_di_Manzo_Argentino_al_Sale_di_Cervia_con_Patate_Rustiche_al_Forno.jpeg
secondi,493678,Baccalà Mantecato su Crema di Cipolle al Nero di Seppia e Pesto di Pomodori Secchi,15.00,"Un elegante incontro di sapori: morbido baccalà mantecato servito su una vellutata crema di cipolle arricchita dal sapore profondo del nero di seppia. Il piatto è completato da un vibrante pesto di pomodori secchi, che aggiunge un tocco di dolcezza e acidità. Una combinazione raffinata di mare e terra, perfetta per chi desidera un'esperienza gastronomica sofisticata e ricca di contrasti.",,Pesce,assets/dishcovery-images/493678_Baccal_Mantecato_su_Crema_di_Cipolle_al_Nero_di_Seppia_e_Pesto_di_Pomodori_Secchi.jpeg
secondi,307949,"Filetto di Manzo ""Angus"" ai Porcini, preparato a Bassa Temperatura",24.00,"Un pregiato filetto di manzo Angus, cotto lentamente a bassa temperatura per preservarne tutta la tenerezza e i sapori naturali. Accompagnato da un ricco e aromatico condimento di funghi porcini, che esalta la succosità della carne, questo piatto offre un’esperienza culinaria intensa e raffinata. Una scelta perfetta per gli amanti della carne, dove la delicatezza della cottura sous-vide incontra la robustezza dei funghi porcini, in un’armonia di sapori autentici e avvolgenti.","Filetto Di Manzo, Aglio, Porcini",,
secondi,307950,"Filetto di Manzo ""Angus"" al Pepe Rosa",19.00,,"Filetto Di Manzo, Cognac, Pepe Verde",,
secondi,307953,Polpo Cotto a Bassa Temperatura su Crema di Patate e Gocce di Prezzemolo,15.00,"Un polpo selezionato dalle coste del Marocco, cotto a bassa temperatura per ottenere una consistenza incredibilmente tenera e succulenta. Servito su una delicata crema di patate vellutata, impreziosita da fresche gocce di prezzemolo che aggiungono una nota erbacea e vivace. Un piatto elegante e bilanciato, dove la morbidezza del polpo si sposa perfettamente con la cremosità delle patate e la freschezza del prezzemolo, per un’esperienza gustativa raffinata e avvolgente.","Polpo, Scalogno, Patate, Prezzemolo, Sedano, Carote, Cipolla, Olio","Sedano, Pesce",assets/dishcovery-images/307953_Polpo_Cotto_a_Bassa_Temperatura_su_Crema_di_Patate_e_Gocce_di_Prezzemolo.jpeg
secondi,307951,Fritto di Mare e Verdure Croccanti,16.00,"Sapori marini e freschezza vegetale si incontrano in questa deliziosa frittura mista. Mazzancolle succulente, anelli di calamari teneri, alici aromatiche, melanzane croccanti e zucchine saporite. Un piatto irresistibilmente croccante e gustoso.","Mazzancolle, Calamari, Melanzane, Zucchine","Glutine, Crostacei, Pesce, Molluschi",
secondi,380901,Grigliata di Carne con Patate al Forno,18.00,"Salsiccia, Petto di Pollo, Pancetta, Lonza e Patate al Forno","Salsiccia, Petto di Pollo, Lonza di Maiale, Pancetta, Patate al Forno",,
secondi,304044,Cotoletta alla milanese con patate fritte,15.00,,,,
contorni,318869,Patate Fritte,4.50,,,,
contorni,318870,Insalata Mista,5.00,,,,
contorni,520065,Melanzane e Zucchine Fritte,5.00,,,,
contorni,520066,Anelli di Cipolla Fritte,4.50,,,,
contorni,668297,Verdure Grigliate,5.00,Melanzane e Zucchine,"Melanzane, Zucchine",,
dessert,304123,Mascarpone,5.00,,"Mascarpone, Uova, zucchero","Uova e derivati, Latte e derivati",
dessert,304125,Tiramisù,5.00,,,"Uova e derivati, Latte e derivati",
dessert,307970,Crema Catalana,5.00,,,,
dessert,661435,Tortino di Cioccolato con Cuore Fondente,5.00,,,,
